region,subregion,geo_type,transportation_type,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20
Taiwan*,,country/region,walking,100,107.89,118.61,119.74,136.24,138.79,121.14,123.47,120.93,115.06,87.37,84.66,97.08,112.24,124.33,108.2,105.23,110.54,115.08,115.88,107.37,100.38,105.02,112.64,114.99,122.11,123.25,114.43,109.3,113.43,115.6,116.86,128.73,126.31,99.66,104.17,108.98,110.79,111.2,124.68,122.71,108.79,92.1,85.5,92.59,124.14,139.47,126.93,93.01,85.43,85.03,84.92,94.73,130.09,134.43,100.58,85.46,94.2,93.59,96.16,121.92,136.7,103.88,91.48,89.54,83.85,86.68,120.3,120.69,92.74,84.03,84.57,85.75,87.8,103.7,110.03,90.55,80.3,84.86,103.8,113.22,100.51,97.31,82.72,75,79.77,78.15,76.98,97.62,88.81,74.38,68.74,71.72,72.99,77.13,104.38
Thailand,,country/region,driving,100,100.25,106.9,106.81,141.87,143.83,118.67,100.95,97.65,98.01,103.47,146.05,146.28,119,98.11,97.32,96.72,100.38,133.01,133.95,111.02,93.53,93.49,97.06,105.41,168.52,150,127.41,107.4,93.27,93.96,101.64,143.78,132.17,106.38,90.95,89.7,91.05,97.43,130.94,132.85,103.78,89.83,89.39,88.22,90.91,127.98,121.03,98.25,86.08,84.61,87.86,97.04,125.92,117.51,96.72,82.55,81.97,81.09,80.51,103.99,98.2,79.89,69.42,68.51,67.41,67.51,76.95,70.01,57.61,50.96,51.8,47.93,39.22,40.34,38,38.91,39.1,39.95,38.74,39.21,39.47,37.32,35.85,36.68,36.23,36.81,37.29,39.11,36.79,35.36,35.08,35.84,36.73,37.6,39.82
Thailand,,country/region,walking,100,100.01,107,107.51,124.83,128.79,113.07,106,102.35,105,105.35,124.57,129.1,108.86,101.22,99.47,96.3,96.04,110.42,113.03,92.75,87.8,86.38,87.63,93.32,114.17,115.06,101.57,87.08,83.93,83.1,88.75,109.71,106.33,87.59,81.69,80.36,81.89,85.02,100.43,101.57,84.46,79.06,77.06,74.6,76.91,92.37,90.82,77,72.83,72.51,71.74,75.31,88.52,85.64,72.36,67.72,64.95,62.91,61.64,67.46,63.64,52.86,48.11,46.84,43.73,42.29,43.3,38.22,31.51,28.22,27.43,25.58,22.88,23.22,21.91,22.17,22.88,22.73,22.39,22.57,22.32,21.9,20.76,21.92,22.15,21.85,22.26,25.96,22.47,21.38,21.36,23.09,21.91,23.03,22.91
Turkey,,country/region,driving,100,103.22,106.28,109.51,139.77,144.21,126.23,113.38,115.78,121.64,121.24,137.22,147.12,139.6,117.38,120.16,125.39,122.1,133.87,142.13,139.13,102.1,106.42,112.39,106.91,118.36,117.66,113.05,101.9,103.9,105.73,111.09,132.79,134.93,127.12,106.28,108.41,109.91,120.13,128.97,140.83,130.08,104.83,108.22,110.9,108.88,118.39,128.76,130.15,104.12,108.92,109.93,114.39,131.88,155.73,144.8,108.78,108.6,106.5,108.97,125.45,126.89,104.01,84.62,74.75,65.02,57.37,58.37,52.37,46.65,47.92,45.92,46.35,46.97,49.46,45.67,39.56,48.6,47.48,45.59,42.85,47.09,33.08,29.09,36.48,35.2,37.06,37.57,38.86,15.04,19.54,43.99,41.94,40.95,45.06,44.15
Turkey,,country/region,walking,100,100.97,104.45,105.61,133.4,141.4,100.15,98.86,105.99,116.43,109.98,122.95,137.8,113.11,116.57,115.92,119.46,110.74,126.5,136.48,115.89,102.28,106.53,97.02,93.83,110.49,113.95,98.59,102.85,104.58,107.21,116.8,140.46,143.77,117.01,111.37,113.16,113.32,107.45,126.14,153.57,127.44,109.87,113.45,115.04,105.49,120.33,131.5,124.52,110.83,114.36,113.61,110.01,138.62,181.98,140.56,110.32,101.46,108.5,106.58,108.1,108.73,71.23,66.55,54.64,45.19,40.21,40.3,34.76,28.11,34.07,31.73,31.79,32.46,31.78,26.33,22.13,31.91,30.05,30.81,28.95,31.58,26.13,21.94,30.15,29.97,30.21,31.35,32.49,14.58,15.69,36.97,34.1,32.68,36.88,35.99
United Kingdom,,country/region,driving,100,104.86,106.4,104.28,109.27,108.3,94.3,103.22,107.88,108.79,106.41,113.54,111.13,95.33,101.81,105.64,106.97,105.43,114.55,112.34,96.88,100.79,106.62,107.82,107.32,114.77,111.59,95.17,108.75,108.02,108.95,109.78,119.65,109.55,101.42,118.6,119.26,121.56,118.33,127.35,115.64,101.34,108.75,108.16,109.74,109.6,122.59,115.93,100.48,104.64,108.34,109.59,109.18,118.61,115.05,97.9,101.47,102.73,102.32,94.18,99.62,94.11,76.22,79.05,69.91,66.55,67.07,68.81,56.73,46.81,52.26,38.31,36.16,35.19,36.93,29.6,24.72,32.8,34.38,34.1,34.25,37.6,31.53,27.02,34.74,36.06,36.67,38.05,34.4,31.74,24.46,29.72,38.71,40.02,40.08,41.72
United Kingdom,,country/region,transit,100,104.2,105.37,103.89,109.38,115.05,99.52,103.88,108,110.91,108.37,115.49,118.64,100.95,103.81,105.67,109.06,108.51,118.03,119.31,105.44,104.05,106.8,109.37,108.48,116.15,122.06,100.52,106.76,107.86,110.08,107.83,117.79,119,109.71,119.36,118.76,121.93,118.81,126.56,126.9,105.46,107.92,108.13,108.85,108.32,118.5,118.75,103.74,103.96,105.51,106.1,105.14,114.68,118.05,97.76,99,99.54,95.28,86.55,88.77,88.31,67.17,61.47,49.57,43.41,41.52,37.97,30.08,28.1,27.42,19.49,17.87,16.97,16.56,15.38,15.34,16.85,16.4,16,15.91,15.53,14.41,14.81,15.8,15.57,15.59,15.45,14.92,14.17,13.5,15.29,16.35,16.64,16.26,15.65
United Kingdom,,country/region,walking,100,106.14,114.37,112.59,128.99,157.81,101.98,109.43,118.46,122.92,122.03,139.4,165.49,97.84,104.79,113.53,122.36,119.75,143.62,169.08,103.22,106.76,115.85,124.21,123.83,142.03,169.55,79.14,101.55,111.72,122.43,120.97,153.72,152.82,98.69,128.1,130.01,136.18,131.67,152.89,169.46,101.08,104.26,115.57,121.26,119.74,138.49,162.75,105.44,107.54,114.84,116.67,110.07,144.51,172.59,101.39,100.87,108.28,111.71,102.65,117.26,132.4,73.47,75.75,62.55,56.11,54.04,58.17,52.54,42.16,45.89,37.23,38.72,38.3,40.83,37.43,29.62,34.55,38.69,38.16,38.45,42.67,42.78,36.77,37.16,41.7,41.69,43.55,45.19,44.4,34.94,37.14,45.4,48.31,46.97,44.36
US,,country/region,driving,100,102.97,105.19,108.48,125.51,115.04,90.91,102.57,103.07,103.01,107.9,124.7,120.92,87.32,97.97,101.54,102.2,107.61,126.08,122.32,85.25,98.86,101.99,101.77,107.72,124.07,122.87,91.58,102.93,106.75,109.02,118.36,145.4,132.51,102.27,110.78,109.46,110.85,114.86,135.85,134.35,99.48,106.23,110.27,112.36,118.85,139.8,138.41,101.04,107.73,112.98,113.05,119.74,139.98,137.37,101.64,109.65,111.34,110.97,108.49,117.01,102.87,76.16,84.09,77.04,72.84,70.21,74.33,62.31,46.45,55.73,55.52,55.24,56.81,62.22,52.56,42.96,53.53,53.98,55.49,55.64,60.61,52.22,42.19,53.73,55.27,56.21,56.9,63.87,57.51,37.42,54.98,59.3,63.03,64.11,70.71
US,,country/region,transit,100,97.77,98.84,99.04,108.03,97.41,85.4,92.39,100.27,101.06,103.29,113.06,101.88,81.35,97.56,97.08,97.49,100.72,110.99,103.42,80.2,96.48,97.63,98.26,101.15,110.91,107.27,84.2,98.3,100.64,102.08,106.67,119.06,107.77,91.63,101.73,104.64,105.16,106.16,117.14,110.65,87.27,99.21,100.12,100.52,102.98,116.02,109.92,85.31,98.06,100.26,101.5,103.53,111.5,107.32,84.23,97.1,92.48,89.97,79.08,76.78,64.59,49.93,50.79,43.58,39.63,36.76,35.8,29.31,24.84,28.17,27.91,26.94,27.09,28.07,23.83,22.39,26.51,25.47,25.24,24.67,25.04,22.42,20.92,24.71,24.65,24.51,23.69,24.31,22.65,19.06,23.67,24.44,24.23,24.06,24.89
